latitude,longitude,count
51.466633,-0.169821,26
51.473036,-0.214749,7
51.519362,-0.074431,24
51.529857,-0.183486,7
51.485917,-0.124469,17
51.507069,-0.145904,17
51.478169,-0.182435,8
51.517932,-0.183716,8
51.521661,-0.109006,28
51.506725,-0.098807,21
51.51477,-0.122219,29
51.522596,-0.161113,12
51.500139,-0.113936,14
51.536039,-0.026262,6
51.494499,-0.228188,13
51.514449,-0.077178,16
51.496462,-0.183289,9
51.489856,-0.141923,13
51.51196,-0.142783,14
51.459715,-0.212145,2
51.527326,-0.136052,10
51.519167,-0.147983,19
51.517842,-0.090075,13
51.529943,-0.123616,58
51.509301,-0.084985,15
51.53095,-0.078505,5
51.490163,-0.190393,14
51.479573,-0.179038,5
51.492111,-0.138364,20
51.5171,-0.18377,9
51.482567,-0.172078,10
51.511968,-0.120718,28
51.506633,-0.131773,14
51.521283,-0.084605,22
51.501737,-0.18498,16
51.506584,-0.199004,7
51.488057,-0.140741,14
51.501732,-0.100292,12
51.502661,-0.021596,12
51.506946,-0.058681,7
51.49652,-0.101384,10
51.501432,-0.178656,5
51.509786,-0.068161,19
51.515975,-0.053177,17
51.527842,-0.108068,9
51.53095,-0.085603,6
51.537349,-0.147154,15
51.494347,-0.215804,8
51.486892,-0.170983,10
51.505772,-0.01646,12
51.486929,-0.102996,7
51.521905,-0.063386,6
51.528681,-0.06555,13
51.519181,-0.140485,17
51.489096,-0.009205,2
51.508033,-0.106823,24
51.496137,-0.019355,2
51.507244,-0.106237,20
51.495718,-0.110889,9
51.496753,-0.138733,24
51.495866,-0.191933,10
51.499412,-0.152317,10
51.518908,-0.079249,39
51.496481,-0.192404,4
51.527294,-0.174653,4
51.520962,-0.085634,26
51.483911,-0.197609,14
51.511553,-0.09294,33
51.515937,-0.111778,20
51.530889,-0.17677,10
51.505703,-0.027772,26
51.498157,-0.209494,10
51.540311,-0.02163,6
51.515231,-0.07015,21
51.517335,-0.17581,33
51.522892,-0.171681,8
51.518093,-0.091401,18
51.515735,-0.09308,10
51.511594,-0.077121,61
51.529537,-0.083353,12
51.49313,-0.156876,28
51.536654,-0.07023,6
51.473874,-0.11258,4
51.493686,-0.111014,6
51.495656,-0.114605,7
51.460232,-0.115375,8
51.518825,-0.108028,28
51.534137,-0.037366,9
51.512529,-0.115163,20
51.519914,-0.136039,5
51.477292,-0.164786,15
51.499917,-0.174554,20
51.495805,-0.127575,11
51.533283,-0.028155,10
51.519572,-0.13214,7
51.522029,-0.165842,13
51.506543,-0.123179,27
51.520019,-0.05438,22
51.468819,-0.184318,17
51.477619,-0.149551,19
51.532199,-0.10548,17
51.517821,-0.096496,32
51.520044,-0.092176,17
51.516417,-0.179135,19
51.500089,-0.116628,9
51.501364,-0.191462,39
51.523418,-0.124121,18
51.506256,-0.218337,14
51.495061,-0.085814,18
51.524517,-0.158963,9
51.498744,-0.103132,8
51.514115,-0.033828,5
51.510484,-0.082989,52
51.531066,-0.11934,13
51.459953,-0.190184,4
51.502279,-0.074189,29
51.475153,-0.159169,12
51.477276,-0.18921,8
51.504636,-0.116542,13
51.507326,-0.145827,6
51.461376,-0.147804,7
51.499428,-0.179702,17
51.473471,-0.20782,9
51.52625,-0.123509,8
51.51824,-0.11655,32
51.528187,-0.075375,20
51.512871,-0.038986,21
51.509631,-0.119047,6
51.52352,-0.10834,18
51.490959,-0.153233,11
51.517919,-0.188098,8
51.460864,-0.187427,15
51.508605,-0.193764,13
51.542138,-0.145393,9
51.497304,-0.022793,4
51.491484,-0.09022,16
51.504027,-0.113864,40
51.514441,-0.087587,39
51.52127,-0.075578,16
51.514105,-0.147301,17
51.539083,-0.070329,12
51.535836,-0.156285,10
51.51362,-0.116764,5
51.513074,-0.064094,8
51.511246,-0.093051,49
51.524583,-0.058631,5
51.514409,-0.118478,2
51.498386,-0.107913,8
51.536264,-0.133952,10
51.47505,-0.150908,13
51.490435,-0.122806,11
51.517075,-0.086685,43
51.491884,-0.125674,17
51.516,-0.038775,7
51.52326,-0.104708,24
51.509462,-0.124749,23
51.528169,-0.018703,11
51.499041,-0.020157,2
51.486062,-0.214428,13
51.487244,-0.205279,9
51.511961,-0.097441,25
51.512136,-0.201554,10
51.518117,-0.144228,17
51.520331,-0.163667,9
51.523353,-0.175116,11
51.535678,-0.062546,29
51.520841,-0.09734,30
51.523951,-0.122502,12
51.512484,-0.099141,30
51.51746,-0.12335,17
51.494881,-0.117974,16
51.509943,-0.117619,28
51.481747,-0.124642,15
51.490645,-0.014582,1
51.511624,-0.205921,3
51.538718,-0.011889,7
51.497924,-0.183834,13
51.492462,-0.159919,25
51.536585,-0.075885,28
51.499606,-0.197574,24
51.507385,-0.09644,16
51.530515,-0.106408,16
51.539957,-0.145246,5
51.510048,-0.138846,26
51.46517,-0.180389,16
51.513489,-0.191351,3
51.518218,-0.100791,17
51.518675,-0.06111,33
51.482944,-0.219346,5
51.464786,-0.215618,7
51.535892,-0.160854,7
51.503143,-0.008428,3
51.534504,-0.106992,19
51.52512,-0.015578,6
51.5338,-0.118677,8
51.513527,-0.13011,41
51.518811,-0.011662,2
51.496544,-0.150905,8
51.511891,-0.107349,23
51.505697,-0.070542,9
51.528302,-0.144466,7
51.537277,-0.079201,14
51.523518,-0.143613,21
51.516277,-0.118272,13
51.516128,-0.120909,13
51.489932,-0.162727,5
51.500296,-0.092762,13
51.484839,-0.138089,12
51.495362,-0.185296,11
51.504749,-0.057544,10
51.532091,-0.06142,19
51.498865,-0.137424,16
51.511897,-0.137043,23
51.513406,-0.076793,16
51.477684,-0.170329,17
51.518369,-0.043371,2
51.525595,-0.144083,5
51.528915,-0.11548,16
51.521668,-0.079608,18
51.541603,-0.138853,14
51.493146,-0.099828,13
51.53114,-0.086016,5
51.508981,-0.00699,7
51.52026,-0.157183,16
51.49206,-0.132224,18
51.516468,-0.079684,17
51.498125,-0.132102,21
51.497387,-0.197245,11
51.46904,-0.196274,5
51.522853,-0.099994,19
51.538071,-0.144664,9
51.521747,-0.094475,11
51.524868,-0.099489,14
51.526357,-0.125979,17
51.511811,-0.025626,3
51.501715,-0.179854,10
51.473763,-0.19701,7
51.49395,-0.147624,29
51.469259,-0.141812,10
51.494816,-0.130458,14
51.509303,-0.025996,17
51.496886,-0.161203,9
51.483217,-0.21186,8
51.519968,-0.169774,12
51.487958,-0.187404,7
51.517703,-0.154106,17
51.490757,-0.106323,9
51.501855,-0.159237,15
51.460792,-0.212607,3
51.517727,-0.127854,20
51.489479,-0.115156,6
51.525893,-0.090847,22
51.52836,-0.104724,7
51.520398,-0.026768,10
51.497698,-0.137598,16
51.516226,-0.124826,26
51.509992,-0.143495,4
51.5343,-0.168074,8
51.523196,-0.083067,15
51.520994,-0.139016,26
51.51616,-0.18697,11
51.485121,-0.174971,10
51.529154,-0.093421,10
51.52168,-0.130431,23
51.491615,-0.186753,7
51.500353,-0.217515,7
51.483732,-0.223852,5
51.488365,-0.129361,8
51.514274,-0.111257,10
51.500401,-0.195455,14
51.49288,-0.114934,15
51.515418,-0.09885,44
51.504719,-0.063531,14
51.478939,-0.208485,14
51.509351,-0.147449,8
51.51632,-0.202608,15
51.47518,-0.16716,14
51.534667,-0.125078,27
51.493967,-0.178732,11
51.526153,-0.102208,14
51.484788,-0.110683,10
51.49109,-0.018716,4
51.497855,-0.081608,26
51.498241,-0.117495,16
51.465064,-0.16375,9
51.522008,-0.151359,12
51.509158,-0.224103,17
51.512363,-0.069542,25
51.523538,-0.030556,7
51.477839,-0.116493,4
51.504942,-0.115533,6
51.488226,-0.135635,17
51.510919,-0.151126,8
51.457529,-0.192165,18
51.527025,-0.088542,21
51.475142,-0.187278,13
51.525367,-0.153463,2
51.518268,-0.171103,11
51.525051,-0.166304,7
51.517606,-0.121328,17
51.507481,-0.205535,11
51.528246,-0.101026,9
51.546326,-0.009935,8
51.525575,-0.179592,12
51.50777,-0.130699,29
51.504043,-0.105312,14
51.468418,-0.199135,5
51.482362,-0.136123,13
51.517475,-0.075855,20
51.526041,-0.047218,11
51.511084,-0.197524,6
51.526443,-0.109256,15
51.504199,-0.210941,4
51.515953,-0.169249,8
51.488108,-0.226606,17
51.476885,-0.215895,12
51.50659,-0.216104,4
51.51809,-0.163609,8
51.515427,-0.023565,6
51.489591,-0.209378,7
51.466907,-0.216573,4
51.524,-0.126409,12
51.502153,-0.083632,17
51.487285,-0.217995,8
51.483145,-0.113134,7
51.495898,-0.173009,16
51.489716,-0.170194,11
51.535716,-0.060291,8
51.468669,-0.146544,7
51.535467,-0.116191,6
51.51328,-0.047784,16
51.538792,-0.138535,5
51.515809,-0.10527,13
51.528828,-0.013258,4
51.526599,-0.112432,11
51.506465,-0.208486,4
51.520583,-0.154701,10
51.525941,-0.036017,7
51.533043,-0.172528,9
51.528222,-0.069743,12
51.493267,-0.21985,11
51.519042,-0.204764,5
51.500694,-0.094524,15
51.470538,-0.163041,9
51.510101,-0.211358,4
51.523346,-0.120202,23
51.505461,-0.10454,7
51.460717,-0.216526,5
51.499806,-0.176415,5
51.524826,-0.176268,3
51.466232,-0.113179,3
51.513757,-0.020467,5
51.528869,-0.047548,9
51.505409,-0.098341,16
51.464019,-0.115781,7
51.499075,-0.085666,12
51.511933,-0.174411,25
51.469202,-0.119022,6
51.53341,-0.049591,2
51.531127,-0.048017,10
51.531864,-0.066035,4
51.529121,-0.171185,5
51.484984,-0.167919,6
51.52505,-0.131161,8
51.532513,-0.033085,11
51.525726,-0.088486,33
51.49447,-0.014409,4
51.509591,-0.204666,2
51.496791,-0.093913,5
51.480898,-0.183853,8
51.460333,-0.167029,8
51.490867,-0.116911,13
51.514767,-0.225787,8
51.483356,-0.216305,7
51.51501,-0.112753,6
51.514222,-0.055656,13
51.529452,-0.027616,1
51.549369,-0.015717,6
51.526717,-0.104298,10
51.501352,-0.153194,8
51.536424,-0.054162,12
51.521564,-0.022694,1
51.511088,-0.057159,15
51.536922,-0.150181,5
51.487679,-0.021582,5
51.51838,-0.073438,14
51.534123,-0.129386,7
51.503791,-0.112824,43
51.467185,-0.152248,7
51.463489,-0.182126,8
51.459225,-0.180884,6
51.490083,-0.162418,5
51.498597,-0.096191,6
51.511934,-0.103078,8
51.516814,-0.151926,25
51.505426,-0.150817,10
51.517334,-0.103604,22
51.500743,-0.202759,1
51.527607,-0.057133,7
51.509224,-0.216016,4
51.506692,-0.103137,10
51.509474,-0.002275,3
51.50486,-0.113001,15
51.501026,-0.180246,10
51.516785,-0.104947,21
51.52959,-0.0801,9
51.472918,-0.132102,3
51.546805,-0.014691,5
51.521776,-0.068856,6
51.508447,-0.055167,10
51.464894,-0.173029,11
51.463211,-0.21555,6
51.534474,-0.122203,7
51.500889,-0.083159,9
51.497056,-0.168917,10
51.522481,-0.154907,6
51.51601,-0.0985,14
51.490945,-0.18119,10
51.474376,-0.155442,6
51.534776,-0.071881,4
51.520205,-0.174593,2
51.461083,-0.191722,9
51.52568,-0.055312,8
51.53558,-0.08249,16
51.51908,-0.124678,21
51.475698,-0.205876,12
51.460951,-0.200667,6
51.496712,-0.205284,8
51.511486,-0.21819,5
51.530059,-0.120973,6
51.495592,-0.179077,12
51.462312,-0.211468,3
51.462305,-0.175407,5
51.46161,-0.216145,9
51.493985,-0.136928,5
51.493381,-0.007542,3
51.461999,-0.20624,4
51.501391,-0.205991,3
51.53213,-0.08299,7
51.506767,-0.123702,21
51.536392,-0.112721,8
51.533319,-0.111781,3
51.527152,-0.058005,7
51.474535,-0.17021,7
51.493072,-0.129925,5
51.48902,-0.17524,2
51.46879,-0.15823,2
51.481765,-0.185273,8
51.513875,-0.117774,14
51.498898,-0.10044,9
51.527068,-0.131861,11
51.512981,-0.219486,4
51.503919,-0.113426,40
51.473116,-0.137235,9
51.505974,-0.092754,7
51.467601,-0.206827,4
51.526838,-0.130504,18
51.533379,-0.139159,6
51.495827,-0.135478,7
51.491211,-0.173715,9
51.474392,-0.163347,8
51.471079,-0.207842,5
51.522511,-0.162298,22
51.496664,-0.223868,3
51.530535,-0.025492,4
51.488144,-0.222456,4
51.50923,-0.151296,6
51.494436,-0.092921,6
51.494223,-0.236769,9
51.504904,-0.06797,3
51.546532,-0.020597,2
51.527058,-0.025296,8
51.508896,-0.012413,2
51.478172,-0.14469,3
51.52388,-0.065076,6
51.50196,-0.016251,2
51.454752,-0.195197,5
51.469161,-0.174485,2
51.524561,-0.165668,3
51.505354,-0.113656,4
51.461923,-0.165297,1
51.485357,-0.142207,3
51.491093,-0.216493,2
51.53385,-0.06992,2
51.513548,-0.005659,3
51.491026,-0.209121,3
51.470131,-0.20464,2
51.467454,-0.172293,2
51.499286,-0.009152,4
51.45682,-0.202802,2
51.457059,-0.200806,1
51.500088,-0.211316,1
51.457991,-0.184806,1
